Title,ReleaseDate,TypeCode,Price,Size,DLCName,Hash
[0 day Attack on Earth],2010/02/03,20,6.99,114,Night Missions Map Pack,4942E61AFD9154744E668C0B9AEFE57800AAEABE58
[0 day Attack on Earth],2010/01/13,20,6.99,94,London Map Pack,51A36D8B3D51B0E5983B9A0A63EB5EB4877F582358
[0D Beat Drop],2010/02/03,10,3.99,18,01:Blaz Blue Special Skin and BGM Pack,B22616C93E1193319EEA161A2E95977B19524E3558
[3D Ultra™ Minigolf],2007/07/25,10,4.99,23,Expansion - 3D Ultra Minigolf Adventures: Lost Island,514E12B978B4CFE1646424CCC2E35751FE43582C58
[A Kingdom for Keflings],2009/12/09,10,1.99,0,Kingdom Pack 1,9A7C88D4E0745CC6901D46921C36A99F0CBC394858
[A Kingdom for Keflings],2009/12/09,10,1.99,0,Kingdom Pack 2,B2BF5998B5D2551BB9B9030A20A89F2CA689D48258
[A World of Keflings],2011/10/26,20,3.99,14,It Came From Outer Space,E34D0DF5E2904526A9880DF02A5D75C022F32EF358
[A World of Keflings],2012/10/17,20,3.99,19,The Curse of the Zombiesaurus,BEBC6FFCEEE61C40FD6C328F5617BC02CA30FFCD58
[A World of Keflings],2012/10/10,20,3.99,16,"Sugar, Spice and Not So Nice",E12657939A5641538FCFDB50CEF013EEC4967D8F58
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Pestor's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Glop'Ee's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Fridge's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Krystale's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Moss's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Sabre's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Ricky Jr.'s Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Blaizer's Board,ED8A01304EE4074077383264C094C149ED650AF258
[Air Band],2011/08/22,10,0.00,360,Air Band,3668E6696AE654A73303DF0AB193545A0DDADF1C58
[Alan Wake],2010/07/09,30,6.99,285,Alan Wake: The Signal,877279780907BCF5779ADE7E1A80CAC31E80BE5358
[Alan Wake],2010/10/12,30,6.99,335,Alan Wake:The Writer,7E178CE4269463FE55AB91CCD77FD031C9EF587D58
[Alice: Madness Returns],2011/06/14,40,0.00,954,American McGee's Alice™,AA9DA5D4074AF56204D8A2C92719E0062FBCAE7558
[Alice: Madness Returns],2011/06/14,40,1.99,0,Weapons of Madness and Dresses Pack,D9A4B72B89A521542CD1AA6261B4A5D920915D8158
[Alien Hominid HD],2007/07/25,30,1.88,0,Alien Hominid HD - Challenge Pack,E36F60B1536890ED1B01CB22CB323F7D881630CF58
[Alien Hominid HD],2007/05/23,30,1.88,0,Alien Hominid HD - PDA Classic Pack 1,678C39F55B1725E563D8FE62756329578A0DA88E58
[Alien Hominid HD],2007/06/20,30,1.88,0,Hominid HD - PDA Classic Pack 2,9E10E66DA121CF5141E6C5C990A359B1B99E648B58
[Alien Hominid HD],2007/04/25,30,1.88,0,Alien Hominid HD - PDA Euro Pack,0A354CD6D5F7255E79B284FA0E029765B5AEA94758
